id,word_vocalized,word_clean,transliteration,root,pos,semantic_intent,fusha_equivalent,definition,region,synonyms,phonetic_variants,note,source,examples,proverbs,tags,searchable_text
11,أَثَّث,اثث,aththath,أثث,Verb,action,فرش البيت وجهزه,تجهيز البيت بالأثاث والمتاع.,general,"[""فرش""]",[],تعتبر لفظة مستحدثة، والمرادف التقليدي هو (فرش).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""f"": ""سعيد جهز منزله الجديد بأثاث فاخر."", ""h"": ""سعيد أثث بيته الجديد أثاث زين.""}]",[],"[""daily life"", ""home""]","الكلمة: أَثَّث (اثث)
الجذر: أثث
الفصحى: فرش البيت وجهزه
المعنى: تجهيز البيت بالأثاث والمتاع.
المرادفات: فرش
مثال: سعيد أثث بيته الجديد أثاث زين.
الوسوم: daily life، home
ملاحظة: تعتبر لفظة مستحدثة، والمرادف التقليدي هو (فرش)."
12,إِثْم,اثم,ithm,أثم,Noun,object,ذنب أو سيئة,بمعنى الذنب أو الجزاء السيئ نتيجة عمل معين.,general,"[""ذنب"", ""خطيئة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""f"": ""يا للمسكين، لقد ارتكب ذنباً كبيراً."", ""h"": ""مسكين سعيد حصل إثم كبير.""}]",[],"[""religious"", ""daily life""]","الكلمة: إِثْم (اثم)
الجذر: أثم
الفصحى: ذنب أو سيئة
المعنى: بمعنى الذنب أو الجزاء السيئ نتيجة عمل معين.
المرادفات: ذنب، خطيئة
مثال: مسكين سعيد حصل إثم كبير.
الوسوم: religious، daily life"
13,الأَوَادِم,الاوادم,al-awadim,أدم,Noun,person,البشر أو الناس,جمع آدمي، وتستخدم للإشارة إلى عامة الناس أو مجموعة منهم.,general,"[""الناس"", ""الخلق""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""f"": ""تحدثت مع جميع الناس."", ""h"": ""تكلمت مع الأوادم كلهم.""}]",[],"[""daily life""]","الكلمة: الأَوَادِم (الاوادم)
الجذر: أدم
الفصحى: البشر أو الناس
المعنى: جمع آدمي، وتستخدم للإشارة إلى عامة الناس أو مجموعة منهم.
المرادفات: الناس، الخلق
مثال: تكلمت مع الأوادم كلهم.
الوسوم: daily life"
14,إِسْتَادَى,استادى,istada,أذي,Verb,action,اشتكى أو تضرر,بمعنى تقديم شكوى ضد شخص بسبب أذيته.,coast,"[""اشتكى""]",[],تتحول الذال إلى دال (استأذى -> استأدى) خاصة في مناطق الساحل.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""f"": ""لم يسبق لأحد أن اشتكى من أذيته في الحي."", ""h"": ""ما قد حد استأدى منه في الحارة.""}]",[],"[""social customs"", ""behavior""]","الكلمة: إِسْتَادَى (استادى)
الجذر: أذي
الفصحى: اشتكى أو تضرر
المعنى: بمعنى تقديم شكوى ضد شخص بسبب أذيته.
المرادفات: اشتكى
مثال: ما قد حد استأدى منه في الحارة.
الوسوم: social customs، behavior
ملاحظة: تتحول الذال إلى دال (استأذى -> استأدى) خاصة في مناطق الساحل."
15,انْقَاص البَرْد,انقاص البرد,inqaas al-bard,نقص,Noun,object,حبات البَرَد,قطع الثلج المتساقطة مع المطر في الأجواء الباردة.,general,"[""برد""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""f"": ""اليوم هطل مطر ومعه حبات برد كبيرة."", ""h"": ""اليوم نزل مطر ومعه انقاص برد كبار.""}]",[],"[""nature"", ""weather""]","الكلمة: انْقَاص البَرْد (انقاص البرد)
الجذر: نقص
الفصحى: حبات البَرَد
المعنى: قطع الثلج المتساقطة مع المطر في الأجواء الباردة.
المرادفات: برد
مثال: اليوم نزل مطر ومعه انقاص برد كبار.
الوسوم: nature، weather"
16,إِثْل,اثل,ithil,أثل,Noun,object,شجر الأثل,نوع من الشجر ينمو تلقائياً ويكثر في وادي حضرموت.,wadi,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""f"": ""الوادي ممتلئ بأشجار الأثل والسدر."", ""h"": ""الوادي مليان شجر أثل وسدر.""}]",[],"[""nature"", ""agriculture""]","الكلمة: إِثْل (اثل)
الجذر: أثل
الفصحى: شجر الأثل
المعنى: نوع من الشجر ينمو تلقائياً ويكثر في وادي حضرموت.
مثال: الوادي مليان شجر أثل وسدر.
الوسوم: nature، agriculture"
17,الأَزْمِيل,الازميل,al-zimil,زمل,Noun,object,الإزميل,أداة حديدية تستخدم للنحت والحفر في الخشب أو الصخر.,general,"[""منحات""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 9,"[{""f"": ""يستخدم النجار الإزميل لنقش الباب."", ""h"": ""النجار يستخدم الأزميل لنقش الباب.""}]",[],"[""tools"", ""crafts""]","الكلمة: الأَزْمِيل (الازميل)
الجذر: زمل
الفصحى: الإزميل
المعنى: أداة حديدية تستخدم للنحت والحفر في الخشب أو الصخر.
المرادفات: منحات
مثال: النجار يستخدم الأزميل لنقش الباب.
الوسوم: tools، crafts"
18,إِيبَلَّه,ايبله,iyyabballeh,بله,Expression,expression,إي والله (قسم للايجاب),صيغة قسم تستخدم للتأكيد والموافقة (إي بالله)، وتكثر عند أهل البادية.,desert/badia,"[""إي والله""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""f"": ""إي والله، إنني آتٍ معكم."", ""h"": ""إيبله إني جاي معاكم.""}]",[],"[""daily life"", ""expressions""]","الكلمة: إِيبَلَّه (ايبله)
الجذر: بله
الفصحى: إي والله (قسم للايجاب)
المعنى: صيغة قسم تستخدم للتأكيد والموافقة (إي بالله)، وتكثر عند أهل البادية.
المرادفات: إي والله
مثال: إيبله إني جاي معاكم.
الوسوم: daily life، expressions"
19,الأَقْصَام,الاقصام,al-aQSam,قصم,Noun,object,جريد النخل,سعف أو جريد النخل الذي جف، ويستخدم في تسقيف البيوت التقليدية.,general,"[""قُصم""]",[],مفردها (قُصم).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""f"": ""سقفنا الكوخ بجريد النخل."", ""h"": ""سقفنا العريش بالأقصام.""}]",[],"[""nature"", ""agriculture"", ""home""]","الكلمة: الأَقْصَام (الاقصام)
الجذر: قصم
الفصحى: جريد النخل
المعنى: سعف أو جريد النخل الذي جف، ويستخدم في تسقيف البيوت التقليدية.
المرادفات: قُصم
مثال: سقفنا العريش بالأقصام.
الوسوم: nature، agriculture، home
ملاحظة: مفردها (قُصم)."
20,اللِّيف,الليف,al-līf,ليف,Noun,object,ليف النخل,الألياف المتشابكة حول جذع النخلة، وتستخدم في التنظيف وصناعة الحبال.,general,[],[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""f"": ""نظف الأواني بليف النخل."", ""h"": ""نظف المواعين بليف النخل.""}]",[],"[""nature"", ""agriculture""]","الكلمة: اللِّيف (الليف)
الجذر: ليف
الفصحى: ليف النخل
المعنى: الألياف المتشابكة حول جذع النخلة، وتستخدم في التنظيف وصناعة الحبال.
مثال: نظف المواعين بليف النخل.
الوسوم: nature، agriculture"
21,أَقْلِيد,اقليد,aqleed,قلد,Noun,object,مفتاح خشبي تقليدي,قفل خشبي قديم له أسنان خشبية فريدة، وهو بمثابة المفتاح الحديدي حالياً.,general,"[""مفتاح""]","[""أيليد"", ""أجليد""]",تنطق القاف جيماً أو ياءً في بعض مناطق الساحل (أيليد).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""f"": ""أقفل الباب بالمفتاح الخشبي التقليدي."", ""h"": ""قفل الباب بالأقليد.""}]","[""خوك إقليدك""]","[""tools"", ""history""]","الكلمة: أَقْلِيد (اقليد)
الجذر: قلد
الفصحى: مفتاح خشبي تقليدي
المعنى: قفل خشبي قديم له أسنان خشبية فريدة، وهو بمثابة المفتاح الحديدي حالياً.
المرادفات: مفتاح
مثال: قفل الباب بالأقليد.
الوسوم: tools، history
ملاحظة: تنطق القاف جيماً أو ياءً في بعض مناطق الساحل (أيليد)."
22,إِبْرَه,ابره,ibrah,أبر,Noun,object,الحقنة الطبية,تطلق في اللهجة الحضرمية غالباً على الحقنة الطبية (المصل).,general,"[""حقنة""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""f"": ""أعطاني الطبيب حقنة في العضل."", ""h"": ""الدكتور أعطاني إبره في العضل.""}]",[],"[""medical"", ""daily life""]","الكلمة: إِبْرَه (ابره)
الجذر: أبر
الفصحى: الحقنة الطبية
المعنى: تطلق في اللهجة الحضرمية غالباً على الحقنة الطبية (المصل).
المرادفات: حقنة
مثال: الدكتور أعطاني إبره في العضل.
الوسوم: medical، daily life"
23,اشِر,اشر,ashir,أشر,Verb,action,أشر أو علّم,بمعنى وضع علامة أو إشارة على شيء ما، أو الإشارة بالإصبع.,general,"[""علّم""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 10,"[{""f"": ""ضع علامة في الصفحة التي توقفت عندها."", ""h"": ""اشر في الصفحة اللي وقفت عندها.""}]",[],"[""daily life""]","الكلمة: اشِر (اشر)
الجذر: أشر
الفصحى: أشر أو علّم
المعنى: بمعنى وضع علامة أو إشارة على شيء ما، أو الإشارة بالإصبع.
المرادفات: علّم
مثال: اشر في الصفحة اللي وقفت عندها.
الوسوم: daily life"
24,أَكْشَف,اكشف,akshaf,كشف,Adjective,descriptor,سيئ الطباع أو عنيد,وصف للشخص الذي يتسم بالعناد أو سوء الخلق والرداءة.,general,"[""عنيد""]",[],الكشافة تعني العناد في اللهجة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""f"": ""هذا الولد عنيد ولا يستمع للنصيحة."", ""h"": ""هذا الولد أكشف ما يسمع الكلام.""}]","[""فقر وكشافه""]","[""behavior"", ""emotions""]","الكلمة: أَكْشَف (اكشف)
الجذر: كشف
الفصحى: سيئ الطباع أو عنيد
المعنى: وصف للشخص الذي يتسم بالعناد أو سوء الخلق والرداءة.
المرادفات: عنيد
مثال: هذا الولد أكشف ما يسمع الكلام.
الوسوم: behavior، emotions
ملاحظة: الكشافة تعني العناد في اللهجة."
25,أَيْوَا,ايوا,aywa,أوي,Expression,expression,نعم / للإيجاب,لفظة تقال للإيجاب والموافقة، أو للرد على نداء شخص.,general,"[""نعم"", ""إي""]","[""إيوا""]",,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""f"": ""نعم، سأسافر معكم غداً."", ""h"": ""أيوا، أنا بسافر معاكم بكرة.""}]",[],"[""daily life"", ""expressions""]","الكلمة: أَيْوَا (ايوا)
الجذر: أوي
الفصحى: نعم / للإيجاب
المعنى: لفظة تقال للإيجاب والموافقة، أو للرد على نداء شخص.
المرادفات: نعم، إي
مثال: أيوا، أنا بسافر معاكم بكرة.
الوسوم: daily life، expressions"
26,إِبْزِم,ابزم,ibzim,بزم,Noun,object,إبزيم,قطعتان معدنيتان تتشابكان لربط الحزام.,general,"[""مشبك"", ""قفل""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""f"": ""أغلق مشبك حزامك."", ""h"": ""سكر إبزم الحزام حقك.""}]",[],"[""clothing"", ""daily life""]","الكلمة: إِبْزِم (ابزم)
الجذر: بزم
الفصحى: إبزيم
المعنى: قطعتان معدنيتان تتشابكان لربط الحزام.
المرادفات: مشبك، قفل
مثال: سكر إبزم الحزام حقك.
الوسوم: clothing، daily life"
27,أُبّـل,ابل,ubbul,أبل,Noun,object,كعك صغير حلو,نوع من المعجنات والحلويات الحضرمية، عبارة عن كعك صغير الحجم هش وحلو المذاق لا حشوة فيه.,general,"[""كعك"", ""بسكويت""]",[],تنطق بضم الهمزة وتشديد الباء المفخمة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""f"": ""شربنا الشاي مع كعك الأبل في وقت العصر."", ""h"": ""شربنا الشاهي مع الأبل العصر.""}]",[],"[""food"", ""daily life""]","الكلمة: أُبّـل (ابل)
الجذر: أبل
الفصحى: كعك صغير حلو
المعنى: نوع من المعجنات والحلويات الحضرمية، عبارة عن كعك صغير الحجم هش وحلو المذاق لا حشوة فيه.
المرادفات: كعك، بسكويت
مثال: شربنا الشاهي مع الأبل العصر.
الوسوم: food، daily life
ملاحظة: تنطق بضم الهمزة وتشديد الباء المفخمة."
28,إِبْلِيس,ابليس,iblīs,بلس,Expression,person,شخص ماكر أو ذكي جداً,تستخدم كوصف للشخص الخبيث أو كثير الحركة، وتأتي أحياناً للمدح بمعنى الذكي والشيطان (ود إبليس/بنت إبليس).,general,"[""عفريت"", ""ماكر"", ""ذكي""]",[],,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""f"": ""هذا الولد ذكي جداً وماكر، يعرف كل شيء."", ""h"": ""هذا الولد ود إبليس، يعرف كل شي.""}]",[],"[""behavior"", ""expressions""]","الكلمة: إِبْلِيس (ابليس)
الجذر: بلس
الفصحى: شخص ماكر أو ذكي جداً
المعنى: تستخدم كوصف للشخص الخبيث أو كثير الحركة، وتأتي أحياناً للمدح بمعنى الذكي والشيطان (ود إبليس/بنت إبليس).
المرادفات: عفريت، ماكر، ذكي
مثال: هذا الولد ود إبليس، يعرف كل شي.
الوسوم: behavior، expressions"
29,أَبُو / بُو,ابو,abu,أبو,Noun,person,أبا (للكنية),للكنية كما في العربية، وتُدغم الألف في النطق لتصبح (بو) مثل: بو عمر، بو حمد.,general,"[""بو""]","[""بو""]",تُدغم الألف تماماً في النطق الدارج.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""f"": ""كيف حالك يا أبا سالم؟"", ""h"": ""كيف حالك يا بو سالم؟""}]",[],"[""social customs"", ""people""]","الكلمة: أَبُو / بُو (ابو)
الجذر: أبو
الفصحى: أبا (للكنية)
المعنى: للكنية كما في العربية، وتُدغم الألف في النطق لتصبح (بو) مثل: بو عمر، بو حمد.
المرادفات: بو
مثال: كيف حالك يا بو سالم؟
الوسوم: social customs، people
ملاحظة: تُدغم الألف تماماً في النطق الدارج."
30,أُمّ سَبْعَة وَسَبْعِين,ام سبعة وسبعين,umm sab3a w-sab3iin,سبع,Noun,object,أم أربعة وأربعين (حشرة),حشرة لها أرجل كثيرة تلدغ (أم أربعة وأربعين). كما تستخدم صيغة 'أوب' للفت الانتباه وإيقاف السيارة.,general,"[""أم أربعة وأربعين""]",[],ارتبطت العبارة بصرخة 'أوب عندك' لإيقاف سائق السيارة.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 11,"[{""f"": ""احذر، توجد حشرة أم أربعة وأربعين تحت الحجر."", ""h"": ""احذر، تحت الحجر أم سبعة وسبعين.""}]",[],"[""insects"", ""nature""]","الكلمة: أُمّ سَبْعَة وَسَبْعِين (ام سبعة وسبعين)
الجذر: سبع
الفصحى: أم أربعة وأربعين (حشرة)
المعنى: حشرة لها أرجل كثيرة تلدغ (أم أربعة وأربعين). كما تستخدم صيغة 'أوب' للفت الانتباه وإيقاف السيارة.
المرادفات: أم أربعة وأربعين
مثال: احذر، تحت الحجر أم سبعة وسبعين.
الوسوم: insects، nature
ملاحظة: ارتبطت العبارة بصرخة 'أوب عندك' لإيقاف سائق السيارة."
31,أَمْبُوه,امبوه,ambuh,موه,Noun,object,الماء (للأطفال),كلمة تعني الماء، وهي خاصة بتلقين الأطفال ليسهل عليهم طلب الشرب.,general,"[""ماء"", ""ماي""]",[],مفردة من لغة الأطفال .,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""f"": ""أعطِ الطفل ماءً ليشرب."", ""h"": ""عط الولد امبوه يشرب.""}]",[],"[""children"", ""food & drink""]","الكلمة: أَمْبُوه (امبوه)
الجذر: موه
الفصحى: الماء (للأطفال)
المعنى: كلمة تعني الماء، وهي خاصة بتلقين الأطفال ليسهل عليهم طلب الشرب.
المرادفات: ماء، ماي
مثال: عط الولد امبوه يشرب.
الوسوم: children، food & drink
ملاحظة: مفردة من لغة الأطفال ."
32,أَحّ,اح,aHH,أحح,Expression,expression,آه (للتأوه أو الإعجاب),لفظ للتأوه من الألم (مثل لسعة النار)، وتستخدمه النساء للإعجاب الشديد بشيء، أو للتقليل من عمل شخص.,general,"[""آه"", ""أوف""]",[],تنطق بفتح الهمزة وتشديد الحاء.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""f"": ""يا لروعة وجمال ذلك القماش."", ""h"": ""أح من ذاك القماش ما أزينه.""}, {""f"": ""يا للأسف منك، لم تتقن العمل."", ""h"": ""أح منك، ما سويتها زين.""}]","[""دحق على الجمر ولا تقول أح"", ""من بغاء البح لا يقول أح"", ""لا تقول أح يسمعك العدو يفرح""]","[""emotions"", ""expressions""]","الكلمة: أَحّ (اح)
الجذر: أحح
الفصحى: آه (للتأوه أو الإعجاب)
المعنى: لفظ للتأوه من الألم (مثل لسعة النار)، وتستخدمه النساء للإعجاب الشديد بشيء، أو للتقليل من عمل شخص.
المرادفات: آه، أوف
مثال: أح من ذاك القماش ما أزينه.
الوسوم: emotions، expressions
ملاحظة: تنطق بفتح الهمزة وتشديد الحاء."
33,الآجر,الاجر,al-ajar,أجر,Noun,object,الطوب الأحمر المحروق,طوب أحمر من الطين المحروق في الأفران حتى يقسو، يُستخدم في البناء القديم كالمساجد.,coast/wadi,"[""طوب"", ""ياجر""]","[""الياجر""]",حرف الجيم ينطق (ياء) في حضرموت الساحل وجزء من الوادي (الآير/الياجر).,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""f"": ""هذا المسجد مبني من الطوب الأحمر المحروق القديم."", ""h"": ""هذا المسجد مبني من الآجر القديم.""}]",[],"[""nature"", ""construction"", ""history""]","الكلمة: الآجر (الاجر)
الجذر: أجر
الفصحى: الطوب الأحمر المحروق
المعنى: طوب أحمر من الطين المحروق في الأفران حتى يقسو، يُستخدم في البناء القديم كالمساجد.
المرادفات: طوب، ياجر
مثال: هذا المسجد مبني من الآجر القديم.
الوسوم: nature، construction، history
ملاحظة: حرف الجيم ينطق (ياء) في حضرموت الساحل وجزء من الوادي (الآير/الياجر)."
34,إِكِّس عَلَيْه,اكس عليه,aks 3alyh,عكس,Expression,expression,تجاهله تماماً / ألغِه,تعبير يقال عن شخص أو موضوع بمعنى الإلغاء والتجاهل والاستبعاد النهائي.,general,"[""طنشه"", ""تجاهله""]",[],مأخوذة من علامة (X)، وتنطق بتشديد الكاف.,قاموس اللهجة الحضرمية - فهد بن هلابي - ص 12,"[{""f"": ""هذا الرجل كاذب، تجاهله تماماً وأسقطه من حساباتك."", ""h"": ""هذا الرجال كذاب، إكس عليه.""}]",[],"[""daily life"", ""expressions""]","الكلمة: إِكِّس عَلَيْه (اكس عليه)
الجذر: عكس
الفصحى: تجاهله تماماً / ألغِه
المعنى: تعبير يقال عن شخص أو موضوع بمعنى الإلغاء والتجاهل والاستبعاد النهائي.
المرادفات: طنشه، تجاهله
مثال: هذا الرجال كذاب، إكس عليه.
الوسوم: daily life، expressions
ملاحظة: مأخوذة من علامة (X)، وتنطق بتشديد الكاف."
